,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,45.3,40.7,4.6,109,9,1937,2003,2011,2003,top-tenth,1911
3,2,42.6,41.1,1.5,84,34,1937,1981,2010,2011,top-third,"1953,1965,1994"
4,3,44.9,43.8,1.1,85,33,1932,"1981,1996",2010,2011,top-third,"1905,2004"
5,4,49.4,48.1,1.3,91,27,1932,1951,2010,2011,top-third,"1982,2008"
6,5,54.4,52.9,1.5,98,20,1913,1996,2010,2011,top-third,1984
7,6,59.0,57.0,2.0,104,14,1913,1996,2011,2009,top-third,1951
8,7,62.1,60.3,1.8,105,13,1913,1996,2010,2011,top-third,"1999,2002"
9,8,63.8,62.0,1.8,104,14,1913,2004,2010,2011,top-third,2000
10,9,63.8,62.4,1.4,104,14,1913,2004,2011,2011,top-third,"1941,1982,2001,2010,2011"
11,10,63.3,61.8,1.5,102,16,1913,2003,2011,2009,top-third,1941
12,11,62.4,60.7,1.7,108,10,1913,1911,2011,2009,top-tenth,"2001,2006"
13,12,60.7,59.4,1.3,101,17,1913,"2003,2008,1997,1935",2011,2010,top-third,"1998,2007"
