,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,41.1,45.1,-4.0,23,94,1940,1950,2010,2009,bottom-third,1904
3,2,40.7,45.8,-5.1,9,108,1977,1950,2001,2010,bottom-tenth,
4,3,45.5,48.4,-2.9,14,103,1977,1932,2003,2010,bottom-third,"1905,1969,1981"
5,4,50.2,52.3,-2.1,16,101,1977,1932,2001,2010,bottom-third,"1931,1994"
6,5,55.6,56.8,-1.2,31,86,1977,1932,2010,2009,bottom-third,1908
7,6,60.1,60.5,-0.4,46,71,1977,1932,2010,2009,normal,1997
8,7,63.3,63.3,0.0,61,56,1977,1932,2010,2008,normal,1986
9,8,65.5,65.1,0.4,77,40,1977,1932,2010,2008,normal,"1900,1910,1914,1917,1919,1943,1989"
10,9,66.4,65.7,0.7,84,33,1977,1999,2010,2008,top-third,1906
11,10,66.2,65.4,0.8,91,26,1977,1999,2010,2008,top-third,"1900,1912,1913,1955,1987,1991,2000"
12,11,64.8,64.5,0.3,75,42,1977,1922,2010,2008,normal,"1914,1917,1930"
13,12,62.8,63.1,-0.3,43,74,1977,1923,2010,2009,normal,"1925,1929,1963"
