,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,5.44,5.18,0.26,73,45,1927,1936,2011,2010,normal,
3,2,10.48,10.34,0.14,69,49,1981,1962,2011,2010,normal,
4,3,14.61,14.15,0.46,71,47,1981,1949,2011,2010,normal,
5,4,15.40,17.04,-1.64,40,78,"1914,1940",2010,2011,2010,normal,
6,5,22.61,20.82,1.79,78,40,1956,2010,2011,2010,normal,
7,6,24.66,25.17,-0.51,53,65,1956,2010,2011,2010,normal,
8,7,30.18,30.64,-0.46,61,57,1981,2010,2011,2010,normal,2002
9,8,33.73,34.99,-1.26,52,66,1955,2010,2011,2010,normal,
10,9,35.37,39.24,-3.87,34,84,1955,2010,2011,2010,bottom-third,
11,10,40.45,44.08,-3.63,38,80,1955,2010,2011,2010,bottom-third,
12,11,48.62,50.26,-1.64,56,62,1955,2010,2011,2010,normal,
13,12,52.11,55.50,-3.39,47,71,1955,2010,2011,2010,normal,
