,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,1.28,4.25,-2.97,11,106,1984,1995,2009,2010,bottom-tenth,
3,2,9.41,7.88,1.53,81,36,1976,1956,2009,2010,top-third,
4,3,12.01,10.45,1.56,77,40,1991,1956,2010,2006,normal,
5,4,15.01,11.65,3.36,90,27,1991,1997,2010,2006,top-third,1984
6,5,15.17,12.10,3.07,86,31,1991,1997,2010,2006,top-third,
7,6,15.27,12.34,2.93,85,32,1991,1997,2010,2006,top-third,
8,7,15.34,12.52,2.82,85,32,1991,1997,2010,2006,top-third,
9,8,15.60,12.87,2.73,82,35,1991,1914,2010,2006,top-third,
10,9,16.67,13.75,2.92,84,33,1918,1997,2010,2006,top-third,
11,10,20.14,15.39,4.75,98,19,1918,1997,2010,2006,top-third,1897
12,11,22.33,18.61,3.72,92,25,1918,1983,2010,2006,top-third,
13,12,25.98,22.40,3.58,87,30,1991,1984,2010,2006,top-third,
