,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,44.6,39.3,5.3,105,13,1918,1907,2011,2006,top-third,
3,2,44.0,40.5,3.5,109,9,1918,1907,2011,1972,top-tenth,1941
4,3,47.1,43.6,3.5,107,11,1918,1932,2011,2006,top-tenth,
5,4,50.5,48.2,2.3,104,14,"1918,1977",1932,2011,2006,top-third,1995
6,5,54.4,53.1,1.3,92,26,1977,1932,2011,2008,top-third,"1900,1942"
7,6,59.2,57.5,1.7,105,13,1977,1932,2011,2008,top-third,"1914,1947"
8,7,62.9,60.7,2.2,110,8,1977,1932,2011,2006,top-tenth,1901
9,8,65.2,62.7,2.5,114,4,1977,"1999,1932",2011,1999,top-tenth,1935
10,9,65.4,63.4,2.0,112,6,1977,1999,2011,1999,top-tenth,
11,10,65.3,63.1,2.2,116,2,1977,1999,2011,1999,top-tenth,"1923,1935,1955"
12,11,64.1,62.0,2.1,116,2,1918,1999,2011,1999,top-tenth,"1922,1939"
13,12,62.4,60.4,2.0,112,6,1918,1999,2011,1999,top-tenth,
