,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,1.60,4.04,-2.44,15,102,1986,1937,2003,2010,bottom-third,
3,2,3.14,8.40,-5.26,3,114,1963,1932,1981,2010,bottom-tenth,
4,3,7.49,12.64,-5.15,8,109,1963,1932,1981,2010,bottom-tenth,
5,4,8.80,16.13,-7.33,3,114,1964,1932,1966,2010,bottom-tenth,
6,5,12.10,19.73,-7.63,4,113,1964,2010,1964,2010,bottom-tenth,
7,6,13.83,23.13,-9.30,3,114,1964,2010,1964,2010,bottom-tenth,
8,7,18.29,26.87,-8.58,8,109,1944,2010,2000,2010,bottom-tenth,
9,8,20.90,30.95,-10.05,6,111,1944,2010,1981,2010,bottom-tenth,
10,9,27.10,36.07,-8.97,10,107,1964,2010,2006,2010,bottom-tenth,
11,10,30.16,41.12,-10.96,5,112,1964,2010,2006,2010,bottom-tenth,
12,11,33.15,45.87,-12.72,4,113,1955,2010,2006,2010,bottom-tenth,
13,12,36.47,49.62,-13.15,5,112,1964,2010,2006,2010,bottom-tenth,
