,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,24.0,23.7,0.3,53,64,1937,1986,2008,2010,normal,1933
3,2,27.6,24.5,3.1,102,15,1979,1981,2010,2006,top-third,
4,3,29.6,27.5,2.1,98,19,1973,1981,2010,2009,top-third,"1954,1995"
5,4,34.5,32.3,2.2,105,12,1899,1934,2010,2009,top-tenth,1956
6,5,39.8,37.3,2.5,110,7,1899,1934,2010,2006,top-tenth,
7,6,44.3,41.9,2.4,110,7,1899,1934,2010,2006,top-tenth,
8,7,47.8,45.5,2.3,107,10,1913,1934,2010,2006,top-tenth,
9,8,49.8,47.5,2.3,111,6,1913,1934,2010,2003,top-tenth,1999
10,9,49.8,48.0,1.8,104,13,1913,1935,2010,2006,top-third,
11,10,49.2,47.4,1.8,102,15,1913,1935,2010,2006,top-third,
12,11,47.9,46.2,1.7,104,13,1913,1935,2010,2008,top-third,"1978,1999"
13,12,46.0,44.6,1.4,99,18,1913,1935,2010,2008,top-third,
