,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,0.69,1.06,-0.37,27,91,"1931,1919",1916,2003,2011,bottom-third,"1920,1946,1954,1972"
3,2,1.60,2.13,-0.53,26,92,1931,1914,2003,2011,bottom-third,
4,3,2.59,3.20,-0.61,29,89,1904,1979,2003,2011,bottom-third,
5,4,4.25,4.54,-0.29,42,76,1977,1909,2004,2011,normal,1899
6,5,5.52,5.96,-0.44,47,71,1904,1942,2011,2010,normal,
7,6,7.12,7.98,-0.86,35,83,1901,1942,2004,2011,bottom-third,
8,7,9.66,10.08,-0.42,47,71,1901,2007,2004,2011,normal,
9,8,10.60,11.62,-1.02,38,80,"1901,1981",1942,2004,2011,bottom-third,
10,9,13.17,13.64,-0.47,48,70,1901,1942,2011,2010,normal,1903
11,10,15.27,15.52,-0.25,54,64,1940,1942,2011,2010,normal,
12,11,16.43,17.02,-0.59,49,69,2003,1942,2009,2011,normal,
13,12,17.60,18.10,-0.50,53,65,2003,1942,2009,2011,normal,
