,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,23.2,25.4,-2.2,33,84,1918,1932,2009,2010,bottom-third,1943
3,2,25.7,27.4,-1.7,38,79,1918,2002,2004,2010,bottom-third,1996
4,3,31.1,31.6,-0.5,44,73,1918,2002,2003,2010,normal,
5,4,36.5,36.5,0.0,60,57,1918,1932,2009,2010,normal,1915
6,5,42.3,41.5,0.8,78,39,1918,1932,2009,2010,top-third,"1909,1914,1985,2005"
7,6,47.1,46.0,1.1,88,29,1918,"1932,2002",2009,2010,top-third,"1958,1967,1985,1997"
8,7,51.1,49.5,1.6,99,18,1918,1932,2010,2008,top-third,1962
9,8,53.3,51.5,1.8,103,14,"1904,1918",1932,2010,2008,top-third,1972
10,9,54.2,52.1,2.1,106,11,1918,"2002,1932",2010,2008,top-tenth,
11,10,54.0,51.5,2.5,110,7,1918,2002,2010,2007,top-tenth,1950
12,11,53.0,50.0,3.0,116,1,1918,2011,2010,,highest,
13,12,51.0,48.0,3.0,114,3,1918,"1992,1999",2010,1999,top-tenth,
