,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,2.86,3.73,-0.87,41,77,1970,1979,2008,2011,normal,
3,2,7.39,7.72,-0.33,60,58,1981,1979,2007,2011,normal,
4,3,10.96,11.86,-0.90,52,66,2002,1978,2008,2011,normal,
5,4,16.56,15.56,1.00,76,42,2002,2006,2008,2011,normal,
6,5,24.34,19.54,4.80,101,17,2002,1978,2011,2009,top-third,
7,6,35.90,23.76,12.14,115,3,1981,1956,2011,1978,top-tenth,
8,7,38.07,27.63,10.44,111,7,2002,1956,2011,2006,top-tenth,
9,8,44.22,31.30,12.92,114,4,1966,1939,2011,1973,top-tenth,
10,9,49.09,35.23,13.86,114,4,1966,1939,2011,1990,top-tenth,
11,10,54.61,39.32,15.29,115,3,1966,1902,2011,1990,top-tenth,
12,11,59.35,43.53,15.82,115,3,1966,1902,2011,1973,top-tenth,
13,12,63.19,46.86,16.33,116,2,1966,1973,2011,1973,top-tenth,
