,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,30.3,33.3,-3.0,28,89,1940,1950,2004,2010,bottom-third,"1897,1902"
3,2,31.0,34.8,-3.8,16,101,1918,1932,1982,2010,bottom-third,1956
4,3,36.5,38.4,-1.9,24,93,1918,1932,2001,2010,bottom-third,
5,4,42.0,42.9,-0.9,36,81,1918,1932,2001,2010,bottom-third,1996
6,5,47.9,47.8,0.1,49,68,1918,1932,2003,2010,normal,"1922,1930,1931,1943,1946,1990,2003"
7,6,52.8,52.2,0.6,75,42,1918,1932,2009,2010,normal,1939
8,7,56.6,55.5,1.1,92,25,1918,1932,2010,2010,top-third,"2004,2010"
9,8,59.2,57.4,1.8,102,15,1918,1932,2010,2008,top-third,1992
10,9,60.0,57.9,2.1,108,9,1918,1932,2010,2008,top-tenth,1960
11,10,59.8,57.3,2.5,111,6,1918,2007,2010,2007,top-tenth,
12,11,58.7,56.0,2.7,115,2,1918,2007,2010,2007,top-tenth,
13,12,56.4,54.2,2.2,109,8,1918,2007,2010,2007,top-tenth,2006
