,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,2.12,3.49,-1.37,19,99,1981,1937,2008,2011,bottom-third,
3,2,5.26,6.95,-1.69,28,90,1981,1978,2002,2011,bottom-third,
4,3,8.88,10.02,-1.14,49,69,1981,1978,2011,2010,normal,
5,4,11.64,13.17,-1.53,38,80,2002,1978,2002,2011,bottom-third,1983
6,5,15.82,16.76,-0.94,52,66,2002,1936,2008,2011,normal,
7,6,25.89,21.34,4.55,102,16,1931,2010,2011,2010,top-third,
8,7,29.59,25.63,3.96,93,25,1931,2010,2011,2010,top-third,
9,8,31.45,29.26,2.19,79,39,1931,2010,2011,2010,top-third,
10,9,33.84,32.81,1.03,69,49,1931,1949,2011,2010,normal,
11,10,37.15,36.27,0.88,72,46,1931,2010,2011,2010,normal,
12,11,41.21,40.21,1.00,68,50,1931,2010,2011,2010,normal,
13,12,43.58,43.28,0.30,61,57,1931,1949,2011,2010,normal,
