,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,50.0,46.1,3.9,97,21,1940,1974,2011,2006,top-third,
3,2,50.7,46.7,4.0,104,14,1918,1932,2011,1999,top-third,1947
4,3,52.5,49.2,3.3,107,11,1977,1932,2011,2002,top-tenth,1909
5,4,54.8,53.0,1.8,95,23,1977,1932,2011,2008,top-third,1942
6,5,58.6,57.3,1.3,92,26,1977,1932,2011,2008,top-third,"1901,1957"
7,6,62.5,60.9,1.6,100,18,1977,1932,2011,2008,top-third,"1901,1947"
8,7,65.3,63.6,1.7,107,11,1977,1932,2011,2008,top-tenth,"1916,1923,1934,1987"
9,8,67.3,65.3,2.0,113,5,1977,1932,2011,1999,top-tenth,
10,9,67.7,65.9,1.8,113,5,1977,1932,2011,1999,top-tenth,1916
11,10,67.5,65.7,1.8,114,4,1977,1999,2011,1999,top-tenth,
12,11,66.6,64.7,1.9,114,4,1977,1999,2011,1999,top-tenth,
13,12,65.3,63.4,1.9,115,3,"1977,1918",1999,2011,1999,top-tenth,1991
