,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,3.04,4.39,-1.35,35,83,1927,1925,2009,2011,bottom-third,1905
3,2,6.27,8.48,-2.21,32,86,1981,1925,2011,2010,bottom-third,
4,3,9.10,11.34,-2.24,33,85,1981,2010,2011,2010,bottom-third,
5,4,11.69,14.10,-2.41,40,78,1981,2010,2011,2010,normal,
6,5,15.55,17.98,-2.43,44,74,1985,2010,2011,2010,normal,
7,6,17.99,22.89,-4.90,17,101,1985,1899,2011,2010,bottom-third,
8,7,22.53,28.50,-5.97,8,110,1981,1899,2011,2010,bottom-tenth,
9,8,26.16,33.04,-6.88,8,110,1981,1899,2011,2010,bottom-tenth,1909
10,9,27.31,36.77,-9.46,3,115,1955,1899,1981,2011,bottom-tenth,
11,10,30.15,40.60,-10.45,3,115,1955,2010,1981,2011,bottom-tenth,
12,11,36.12,45.67,-9.55,8,110,1955,2010,2008,2011,bottom-tenth,
13,12,39.82,50.23,-10.41,9,109,1955,1930,2008,2011,bottom-tenth,
