,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,54.9,57.8,-2.9,25,92,1940,1974,2010,2009,bottom-third,1900
3,2,52.5,58.3,-5.8,2,115,1918,1932,1981,2010,bottom-tenth,1981
4,3,56.6,60.3,-3.7,9,108,1918,1932,1981,2010,bottom-tenth,1905
5,4,60.5,63.3,-2.8,8,109,1918,1932,1981,2010,bottom-tenth,
6,5,64.6,66.4,-1.8,12,105,1918,1932,1981,2010,bottom-tenth,"1896,1938,1963"
7,6,67.7,68.9,-1.2,24,93,1918,1999,2001,2010,bottom-third,"1910,1936"
8,7,70.0,70.6,-0.6,30,87,1918,1999,2001,2010,bottom-third,"1908,1919,1924,1966,1968"
9,8,71.6,71.7,-0.1,44,73,1918,1999,2003,2010,normal,"1897,1899,1926,1928,1929,1946,1948,1953,1971,1975"
10,9,72.4,72.1,0.3,72,45,1918,1999,2009,2010,normal,"1960,1980,1988,1990,1998,2009"
11,10,72.1,71.8,0.3,67,50,1918,1999,2009,2010,normal,"1928,1957,1960,2009"
12,11,70.9,71.1,-0.2,40,77,1918,1999,1994,2010,normal,"1916,1935,1982"
13,12,69.4,70.1,-0.7,21,96,1902,1999,1984,2010,bottom-third,"1927,1959,1967"
