,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,4.24,2.96,1.28,93,24,1927,1991,2010,1998,top-third,
3,2,5.35,5.69,-0.34,63,54,1927,1998,2009,2010,normal,
4,3,7.42,8.01,-0.59,58,59,1957,1998,2009,2010,normal,
5,4,7.86,11.88,-4.02,16,101,1907,1998,2001,2010,bottom-third,
6,5,12.19,18.38,-6.19,7,110,1962,1948,2009,2010,bottom-tenth,
7,6,20.35,25.55,-5.20,13,104,1985,1899,1992,2010,bottom-third,
8,7,26.35,32.96,-6.61,8,109,1962,1899,1981,2010,bottom-tenth,
9,8,31.59,39.87,-8.28,5,112,1932,1948,1985,2010,bottom-tenth,
10,9,35.81,43.89,-8.08,6,111,1932,1948,2001,2010,bottom-tenth,
11,10,38.56,46.94,-8.38,8,109,1932,1948,2007,2010,bottom-tenth,
12,11,44.43,50.67,-6.24,17,100,1928,1948,2008,2010,bottom-third,
13,12,48.13,53.86,-5.73,20,97,2001,1948,2008,2010,bottom-third,
