,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,24.0,22.0,2.0,70,47,1949,1953,2008,2010,normal,1996
3,2,25.4,23.0,2.4,84,33,1949,1934,2010,2006,top-third,
4,3,27.1,25.9,1.2,78,39,1949,1934,2010,2009,top-third,
5,4,32.2,30.5,1.7,93,24,1949,1934,2010,2009,top-third,
6,5,37.0,35.3,1.7,96,21,1949,1918,2010,2005,top-third,"1908,1935,1939"
7,6,41.3,40.0,1.3,90,27,1949,"1918,1934",2010,2009,top-third,"1902,1939,1990"
8,7,44.6,43.6,1.0,88,29,1949,"1934,1918",2010,2009,top-third,"1978,1982,1995,2008"
9,8,46.0,45.2,0.8,79,38,"1917,1949",1934,2010,2009,top-third,"1927,1951,1988"
10,9,45.7,45.7,0.0,57,60,1917,"1959,1934",1994,2010,normal,"1914,1945"
11,10,45.2,45.2,0.0,51,66,1917,1935,1994,2010,normal,"1937,1945,1966"
12,11,44.3,44.1,0.2,67,50,1949,1935,2009,2010,normal,"1918,1968,2009"
13,12,43.0,42.6,0.4,73,44,1949,1935,2009,2010,normal,"1942,1953,1968,1970,1991,2009"
