,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,2.79,3.02,-0.23,59,58,1985,1909,2010,2008,normal,
3,2,7.01,5.93,1.08,89,28,1977,1965,2010,2008,top-third,
4,3,10.04,8.62,1.42,89,28,1977,1965,2010,2006,top-third,
5,4,12.53,10.37,2.16,96,21,1977,1997,2010,2006,top-third,
6,5,13.47,11.57,1.90,93,24,1977,1997,2010,2006,top-third,
7,6,14.30,12.42,1.88,92,25,1937,1969,2010,2006,top-third,
8,7,14.82,13.25,1.57,86,31,1937,1965,2010,2006,top-third,
9,8,18.06,15.05,3.01,98,19,1977,1965,2010,1997,top-third,
10,9,20.83,17.17,3.66,98,19,1977,1965,2010,2006,top-third,
11,10,23.47,19.13,4.34,103,14,1937,1965,2010,2006,top-third,
12,11,25.33,21.45,3.88,102,15,1937,1965,2010,2006,top-third,
13,12,26.39,23.90,2.49,92,25,1930,1997,2010,2006,top-third,
