,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,3.33,3.02,0.31,74,44,1985,1909,2011,2008,normal,1999
3,2,4.86,5.93,-1.07,36,82,1977,1965,2010,2011,bottom-third,1989
4,3,6.85,8.62,-1.77,32,86,1977,1965,2010,2011,bottom-third,
5,4,9.68,10.37,-0.69,46,72,1977,1997,2010,2011,normal,
6,5,10.07,11.57,-1.50,35,83,1977,1997,2010,2011,bottom-third,
7,6,10.58,12.42,-1.84,30,88,1937,1969,2010,2011,bottom-third,
8,7,11.13,13.25,-2.12,29,89,1937,1965,2010,2011,bottom-third,
9,8,13.09,15.05,-1.96,34,84,1977,1965,2004,2011,bottom-third,
10,9,16.24,17.17,-0.93,55,63,1977,1965,2010,2011,normal,2008
11,10,19.42,19.13,0.29,73,45,1937,1965,2010,2011,normal,
12,11,23.30,21.45,1.85,84,34,1937,1965,2010,2011,top-third,
13,12,25.23,23.90,1.33,75,43,1930,1997,2010,2011,normal,
