,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,31.9,25.3,6.6,106,12,1977,2006,2011,2006,top-tenth,
3,2,33.9,27.5,6.4,114,4,1918,1932,2011,2002,top-tenth,
4,3,37.9,31.9,6.0,114,4,1977,1932,2011,2002,top-tenth,
5,4,42.2,37.6,4.6,115,3,1977,1932,2011,2002,top-tenth,
6,5,46.5,43.3,3.2,111,7,1977,1932,2011,2006,top-tenth,1939
7,6,51.2,48.4,2.8,111,7,1977,1932,2011,2008,top-tenth,2008
8,7,55.3,52.2,3.1,114,4,1977,1932,2011,2006,top-tenth,2006
9,8,57.5,54.6,2.9,114,4,"1918,1977",1932,2011,2006,top-tenth,
10,9,58.0,55.5,2.5,112,6,1918,1932,2011,2006,top-tenth,1937
11,10,57.5,55.1,2.4,113,5,1918,1932,2011,2006,top-tenth,"1914,1992,1999"
12,11,56.1,53.7,2.4,112,6,1918,1932,2011,2008,top-tenth,"1922,2006"
13,12,53.9,51.6,2.3,110,8,1918,1932,2011,2006,top-tenth,1947
