,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,32.4,26.5,5.9,103,15,1977,2006,2011,2006,top-third,
3,2,34.5,28.5,6.0,111,7,1918,1932,2011,2007,top-tenth,
4,3,38.6,32.7,5.9,115,3,1977,1932,2011,2002,top-tenth,
5,4,42.5,38.0,4.5,115,3,1977,1932,2011,2002,top-tenth,
6,5,46.7,43.5,3.2,111,7,1977,1932,2011,2006,top-tenth,
7,6,51.1,48.4,2.7,111,7,1977,1932,2011,2008,top-tenth,1914
8,7,55.0,52.1,2.9,116,2,1977,1932,2011,2006,top-tenth,"2002,2006"
9,8,57.2,54.4,2.8,115,3,1977,1932,2011,2006,top-tenth,
10,9,57.7,55.2,2.5,116,2,1918,1932,2011,1937,top-tenth,1937
11,10,57.3,54.7,2.6,115,3,1918,1932,2011,2002,top-tenth,
12,11,55.8,53.3,2.5,113,5,1918,1932,2011,2008,top-tenth,
13,12,53.8,51.3,2.5,112,6,1918,1932,2011,2002,top-tenth,2002
