,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,1.50,2.74,-1.24,25,92,1981,1950,2003,2010,bottom-third,1946
3,2,2.94,5.58,-2.64,12,105,1944,1950,1981,2010,bottom-tenth,
4,3,7.95,8.61,-0.66,51,66,1977,1949,2010,2009,normal,
5,4,9.12,11.45,-2.33,23,94,1964,1950,2000,2010,bottom-third,
6,5,10.47,14.66,-4.19,15,102,1964,1937,2000,2010,bottom-third,
7,6,12.31,18.13,-5.82,10,107,1964,1937,1977,2010,bottom-tenth,
8,7,16.46,21.93,-5.47,14,103,1909,2007,2000,2010,bottom-third,
9,8,24.14,26.01,-1.87,34,83,1909,2007,2003,2010,bottom-third,
10,9,29.63,30.14,-0.51,48,69,1931,1991,2003,2010,normal,
11,10,32.79,33.93,-1.14,45,72,1931,2007,2006,2010,normal,
12,11,35.89,37.44,-1.55,43,74,1931,2007,2006,2010,normal,
13,12,37.37,39.67,-2.30,37,80,1931,1991,2006,2010,bottom-third,1936
