,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,3.40,2.74,0.66,90,28,1981,1950,2011,2007,top-third,
3,2,7.99,5.58,2.41,100,18,1944,1950,2011,2008,top-third,
4,3,14.20,8.61,5.59,112,6,1977,1949,2011,2005,top-tenth,1898
5,4,17.49,11.45,6.04,111,7,1964,1950,2011,2007,top-tenth,
6,5,22.80,14.66,8.14,115,3,1964,1937,2011,1950,top-tenth,
7,6,25.35,18.13,7.22,112,6,1964,1937,2011,2007,top-tenth,
8,7,28.09,21.93,6.16,104,14,1909,2007,2011,2007,top-third,
9,8,33.32,26.01,7.31,108,10,1909,2007,2011,2007,top-tenth,
10,9,39.83,30.14,9.69,112,6,1931,1991,2011,2007,top-tenth,
11,10,49.44,33.93,15.51,117,1,1931,2012,2011,,highest,
12,11,52.90,37.44,15.46,117,1,1931,2012,2011,,highest,
13,12,57.11,39.67,17.44,117,1,1931,2012,2011,,highest,
