,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,46.9,49.4,-2.5,33,84,1940,1950,2010,2009,bottom-third,"1919,1976"
3,2,47.5,50.2,-2.7,24,93,1977,1950,2010,2009,bottom-third,
4,3,51.3,52.6,-1.3,35,82,1977,1923,2010,2009,bottom-third,1980
5,4,55.6,56.3,-0.7,44,73,1977,1932,2010,2009,normal,"1906,1933"
6,5,60.4,60.5,-0.1,58,56,1977,1932,2010,2008,normal,"1908,1954,1956"
7,6,64.5,64.0,0.5,77,40,1977,1932,2010,2008,normal,"1939,1991"
8,7,67.2,66.6,0.6,85,32,1977,1999,2010,2008,top-third,"1909,1925,1942"
9,8,69.3,68.2,1.1,96,21,1977,1999,2010,2008,top-third,1911
10,9,70.1,68.8,1.3,106,11,1977,1999,2010,2006,top-tenth,"1901,2005"
11,10,69.9,68.5,1.4,111,6,1977,1999,2010,2006,top-tenth,"1916,1928,1932,1952,2006"
12,11,68.5,67.7,0.8,93,24,1977,1999,2010,2008,top-third,"1897,1903,1912,1920,1939"
13,12,66.6,66.4,0.2,64,53,1977,1999,2010,2009,normal,"1917,1936"
