,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,4.70,5.14,-0.44,56,62,1928,1998,2010,2011,normal,
3,2,10.21,10.62,-0.41,62,56,1981,1932,2011,2010,normal,
4,3,13.90,14.88,-0.98,53,65,1904,1932,2011,2010,normal,
5,4,14.80,18.32,-3.52,29,89,1904,1932,2011,2010,bottom-third,
6,5,21.80,22.42,-0.62,54,64,1904,1974,2011,2010,normal,
7,6,23.51,27.08,-3.57,35,83,1904,1974,2011,2010,bottom-third,
8,7,29.67,32.77,-3.10,33,85,1925,1974,2011,2010,bottom-third,
9,8,32.97,37.36,-4.39,26,92,1925,1941,2011,2010,bottom-third,
10,9,34.48,42.52,-8.04,17,101,1918,1990,2011,2010,bottom-third,
11,10,36.98,47.41,-10.43,9,109,1925,1992,2011,2010,bottom-tenth,
12,11,40.86,52.37,-11.51,10,108,1925,1974,2011,2010,bottom-tenth,1963
13,12,42.96,57.05,-14.09,7,111,1918,1974,2000,2011,bottom-tenth,
