,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,14.9,17.7,-2.8,32,85,1912,2006,2010,2008,bottom-third,
3,2,17.0,20.3,-3.3,27,90,1918,2002,2010,2008,bottom-third,
4,3,24.0,25.4,-1.4,41,76,1977,2002,2009,2010,normal,"1938,1946"
5,4,31.5,32.0,-0.5,49,68,1977,2002,2010,2008,normal,"1898,1902,1965"
6,5,37.8,38.2,-0.4,49,68,1977,1932,2010,2008,normal,1896
7,6,43.9,43.7,0.2,61,56,"1977,1918",1932,2010,2008,normal,1928
8,7,48.3,48.0,0.3,61,56,1918,1932,2010,2008,normal,"1933,1938"
9,8,51.1,50.7,0.4,67,50,1918,1932,2010,2008,normal,"1915,1924"
10,9,52.1,51.7,0.4,72,45,1918,1932,2010,2008,normal,"1944,1948,1958,2005"
11,10,52.4,51.3,1.1,89,28,1918,1932,2010,2008,top-third,"1954,1987,2008"
12,11,51.1,49.8,1.3,92,25,1918,1932,2010,2008,top-third,
13,12,48.3,47.5,0.8,87,30,1918,1932,2010,2008,top-third,1958
