,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,0.57,0.98,-0.41,30,88,1981,1949,2003,2011,bottom-third,
3,2,2.65,2.08,0.57,92,26,2003,1949,2011,2010,top-third,1975
4,3,4.73,3.82,0.91,87,31,2003,1932,2011,2010,top-third,
5,4,5.47,6.13,-0.66,48,70,1911,1932,2011,2010,normal,
6,5,7.15,9.83,-2.68,27,91,1977,1932,2003,2011,bottom-third,
7,6,10.17,13.69,-3.52,14,104,1977,1932,2000,2011,bottom-third,
8,7,13.57,17.57,-4.00,18,100,1977,1903,2000,2011,bottom-third,
9,8,19.76,22.18,-2.42,37,81,1977,1994,2006,2011,bottom-third,
10,9,24.76,26.22,-1.46,49,69,1977,1994,2007,2011,normal,
11,10,28.57,29.17,-0.60,54,64,1911,1994,2006,2011,normal,
12,11,30.07,31.14,-1.07,52,66,1911,1994,2006,2011,normal,
13,12,31.46,32.15,-0.69,55,63,1911,1994,2006,2011,normal,
