,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,27.3,28.6,-1.3,38,79,1940,2006,2010,2009,bottom-third,
3,2,29.8,30.2,-0.4,47,70,1984,1992,2010,2009,normal,1996
4,3,34.4,34.1,0.3,61,56,"1912,1930",2000,2010,2009,normal,
5,4,40.6,39.7,0.9,78,39,1912,2000,2010,2008,top-third,"1961,1983,2008"
6,5,46.6,45.5,1.1,88,29,1930,2006,2010,2008,top-third,"1922,1980,2008"
7,6,52.1,50.8,1.3,95,22,1918,1939,2010,2008,top-third,"1931,1941,1954"
8,7,56.1,54.8,1.3,96,21,1918,1955,2010,2008,top-third,"1938,1947,2008"
9,8,58.7,57.1,1.6,100,17,"1918,1993",1935,2010,2006,top-third,1953
10,9,59.1,57.8,1.3,95,22,1918,1935,2010,2006,top-third,
11,10,58.9,57.4,1.5,101,16,1918,1935,2010,2006,top-third,1937
12,11,57.6,56.0,1.6,102,15,1918,1935,2010,2008,top-third,"1914,1923,2007,2008"
13,12,55.3,54.1,1.2,94,23,1918,"1955,1935",2010,2008,top-third,"1978,2008"
