,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,0.46,0.67,-0.21,50,67,1986,1949,2009,2010,normal,
3,2,0.66,1.52,-0.86,12,105,1923,1985,2003,2010,bottom-tenth,1911
4,3,2.19,2.86,-0.67,39,78,1911,1910,2009,2010,bottom-third,
5,4,2.88,4.84,-1.96,18,99,1911,1999,1996,2010,bottom-third,1938
6,5,6.02,7.71,-1.69,29,88,1940,1974,2006,2010,bottom-third,
7,6,8.95,10.82,-1.87,30,87,1957,1974,2001,2010,bottom-third,
8,7,13.50,14.17,-0.67,50,67,1940,1974,2004,2010,normal,
9,8,18.20,18.17,0.03,62,55,1953,1952,2004,2010,normal,
10,9,22.26,22.02,0.24,62,55,1953,1952,2007,2010,normal,
11,10,24.88,24.53,0.35,58,59,1957,1952,2007,2010,normal,
12,11,26.96,26.19,0.77,68,49,1957,1952,2007,2010,normal,
13,12,27.82,27.08,0.74,67,50,1957,1952,2007,2010,normal,
