,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,30.2,33.6,-3.4,25,92,1977,1950,2010,2009,bottom-third,"1988,2009"
3,2,29.6,35.0,-5.4,11,106,1918,1932,2001,2010,bottom-tenth,
4,3,35.4,38.4,-3.0,16,101,1977,1932,2001,2010,bottom-third,"1912,1964"
5,4,41.1,43.1,-2.0,21,96,1977,1932,2001,2010,bottom-third,"1956,1959"
6,5,46.9,48.2,-1.3,25,92,1977,1932,2001,2010,bottom-third,1915
7,6,52.1,52.7,-0.6,38,79,1977,1932,2010,2008,bottom-third,"1897,1911,1926,1966,1981"
8,7,55.9,56.0,-0.1,53,64,1977,1932,2010,2008,normal,"1965,1981"
9,8,58.5,58.1,0.4,70,47,1977,1932,2010,2008,normal,2003
10,9,59.5,58.8,0.7,82,35,1977,1932,2010,2008,top-third,"1913,1916,1943,1988"
11,10,59.6,58.4,1.2,93,24,1977,1932,2010,2008,top-third,
12,11,58.4,57.2,1.2,94,23,1918,1932,2010,2008,top-third,"1906,2000"
13,12,56.1,55.5,0.6,78,39,1918,"1922,1932",2010,2008,top-third,"1907,1912,1916,1943,1995,2003"
