,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,3.80,4.20,-0.40,60,58,1981,1937,2011,2009,normal,1938
3,2,8.75,8.25,0.50,77,41,1981,1937,2011,2009,normal,
4,3,16.33,11.87,4.46,103,15,1977,1937,2011,1991,top-third,
5,4,19.27,14.68,4.59,103,15,1931,1920,2011,2005,top-third,
6,5,25.16,17.90,7.26,110,8,1964,1937,2011,1952,top-tenth,
7,6,27.47,21.63,5.84,103,15,1940,1927,2011,2007,top-third,
8,7,31.41,25.97,5.44,100,18,1931,1916,2011,2007,top-third,
9,8,36.77,30.23,6.54,105,13,1931,1916,2011,2005,top-third,
10,9,43.52,34.56,8.96,109,9,1931,1916,2011,2005,top-tenth,
11,10,55.59,38.64,16.95,117,1,1931,2012,2011,,highest,
12,11,61.10,43.34,17.76,117,1,1931,2012,2011,,highest,
13,12,65.98,46.95,19.03,117,1,1931,2012,2011,,highest,
