,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,15.9,13.2,2.7,84,33,1920,2006,2009,2010,top-third,1915
3,2,19.7,16.0,3.7,96,21,1918,2002,2009,2010,top-third,2000
4,3,24.6,21.4,3.2,98,19,1918,2002,2009,2010,top-third,
5,4,29.8,27.1,2.7,100,17,1918,2002,2009,2010,top-third,2000
6,5,35.5,32.7,2.8,105,12,1905,2002,2010,2007,top-tenth,
7,6,40.4,37.7,2.7,106,11,1905,2002,2009,2010,top-tenth,1962
8,7,44.5,41.7,2.8,111,6,1905,2002,2010,2007,top-tenth,1995
9,8,46.6,44.0,2.6,110,7,1905,2002,2010,2007,top-tenth,
10,9,47.5,44.7,2.8,113,4,1918,2002,2010,2007,top-tenth,2006
11,10,47.2,44.0,3.2,113,4,1918,2002,2010,2007,top-tenth,
12,11,46.1,42.4,3.7,116,1,1918,2011,2010,,highest,
13,12,44.3,40.1,4.2,116,1,1918,2011,2010,,highest,
