,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,18.2,13.2,5.0,102,16,1920,2006,2011,2010,top-third,
3,2,22.1,16.0,6.1,113,5,1918,2002,2011,2007,top-tenth,
4,3,27.7,21.4,6.3,115,3,1918,2002,2011,2007,top-tenth,
5,4,32.7,27.1,5.6,116,2,1918,2002,2011,2002,top-tenth,
6,5,37.9,32.7,5.2,116,2,1905,2002,2011,2002,top-tenth,
7,6,42.4,37.7,4.7,116,2,1905,2002,2011,2002,top-tenth,
8,7,46.0,41.7,4.3,116,2,1905,2002,2011,2002,top-tenth,
9,8,47.8,44.0,3.8,116,2,1905,2002,2011,2002,top-tenth,
10,9,48.2,44.7,3.5,116,2,1918,2002,2011,2002,top-tenth,
11,10,47.3,44.0,3.3,115,3,1918,2002,2011,2007,top-tenth,2000
12,11,45.5,42.4,3.1,113,5,1918,2011,2010,2011,top-tenth,
13,12,43.0,40.1,2.9,112,6,1918,2011,2010,2011,top-tenth,
