,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,1.89,3.30,-1.41,15,102,1970,1979,2004,2010,bottom-third,
3,2,8.20,6.80,1.40,89,28,1944,1958,2010,2006,top-third,
4,3,13.40,10.72,2.68,97,20,1940,1984,2010,2008,top-third,1936
5,4,19.33,14.43,4.90,106,11,1948,2006,2010,2006,top-tenth,
6,5,24.70,18.13,6.57,114,3,1985,2006,2010,2006,top-tenth,
7,6,27.03,21.63,5.40,107,10,"1985,1948",2006,2010,2009,top-tenth,"1960,1992"
8,7,29.90,25.41,4.49,98,19,1985,2006,2008,2010,top-third,
9,8,35.44,29.16,6.28,105,12,2002,2006,2008,2010,top-tenth,
10,9,37.53,32.56,4.97,101,16,2002,2006,2008,2010,top-third,
11,10,40.35,35.87,4.48,99,18,2002,2006,2005,2010,top-third,
12,11,45.46,39.21,6.25,101,16,2002,2006,2005,2010,top-third,
13,12,48.13,42.03,6.10,102,15,2002,2006,2008,2010,top-third,
