,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,3.10,3.30,-0.20,57,61,1970,1979,2011,2006,normal,1934
3,2,6.59,6.80,-0.21,59,59,1944,1958,2007,2011,normal,
4,3,9.08,10.72,-1.64,31,87,1940,1984,2003,2011,bottom-third,
5,4,14.05,14.43,-0.38,56,62,1948,2006,2005,2011,normal,
6,5,17.94,18.13,-0.19,57,61,1985,2006,2005,2011,normal,
7,6,25.38,21.63,3.75,97,21,"1985,1948",2006,2010,2011,top-third,
8,7,29.07,25.41,3.66,91,27,1985,2006,2008,2011,top-third,
9,8,33.13,29.16,3.97,92,26,2002,2006,2008,2011,top-third,
10,9,38.62,32.56,6.06,104,14,2002,2006,2011,2010,top-third,
11,10,43.37,35.87,7.50,106,12,2002,2006,2011,2010,top-tenth,
12,11,48.30,39.21,9.09,111,7,2002,2006,2011,2009,top-tenth,
13,12,51.25,42.03,9.22,111,7,2002,2006,2011,2009,top-tenth,
