,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,37.5,32.5,5.0,102,16,1918,1950,2011,2007,top-third,
3,2,39.7,33.9,5.8,113,5,1918,1932,2011,2007,top-tenth,
4,3,42.9,37.6,5.3,114,4,1918,1932,2011,2007,top-tenth,
5,4,46.2,42.2,4.0,113,5,1918,1932,2011,2007,top-tenth,
6,5,50.7,47.1,3.6,115,3,1918,1932,2011,2002,top-tenth,
7,6,54.8,51.5,3.3,114,4,1918,1932,2011,2008,top-tenth,2008
8,7,58.3,54.9,3.4,116,2,1918,1932,2011,1932,top-tenth,
9,8,60.3,56.9,3.4,116,2,1918,1932,2011,1932,top-tenth,
10,9,60.9,57.5,3.4,116,2,1918,1932,2011,1932,top-tenth,
11,10,60.5,56.9,3.6,117,1,1918,2012,2011,,highest,
12,11,59.0,55.6,3.4,117,1,1918,2012,2011,,highest,
13,12,57.2,53.8,3.4,117,1,1918,2012,2011,,highest,
