,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,2.37,3.36,-0.99,26,91,1981,1937,2008,2010,bottom-third,1997
3,2,4.64,6.64,-2.00,23,94,1981,1937,2002,2010,bottom-third,
4,3,6.78,9.63,-2.85,20,97,1981,1978,2002,2010,bottom-third,
5,4,11.60,12.76,-1.16,47,70,2002,1978,2002,2010,normal,
6,5,16.84,16.31,0.53,67,50,1931,1978,2008,2010,normal,
7,6,21.19,20.68,0.51,65,52,1931,2010,2009,2010,normal,
8,7,24.97,24.84,0.13,57,60,1931,1997,2009,2010,normal,
9,8,27.07,28.68,-1.61,39,78,1931,2004,2008,2010,bottom-third,
10,9,30.18,32.40,-2.22,39,78,1931,2004,2008,2010,bottom-third,
11,10,32.05,35.86,-3.81,24,93,1931,2004,2008,2010,bottom-third,
12,11,37.04,39.62,-2.58,37,80,1931,2004,2008,2010,bottom-third,
13,12,40.46,42.53,-2.07,39,78,1931,2004,2008,2010,bottom-third,
