,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,22.4,24.1,-1.7,35,82,1918,1932,2009,2010,bottom-third,1907
3,2,25.1,26.2,-1.1,46,71,1918,2002,2004,2010,normal,1957
4,3,30.4,30.5,-0.1,52,65,1918,"2002,2007",2009,2010,normal,2009
5,4,35.7,35.4,0.3,65,52,1918,2002,2009,2010,normal,"1979,1993"
6,5,41.5,40.4,1.1,82,35,1918,2002,2009,2010,top-third,
7,6,46.2,44.9,1.3,89,28,1918,2002,2009,2010,top-third,1951
8,7,50.2,48.5,1.7,101,16,1918,1932,2010,2008,top-third,1980
9,8,52.4,50.5,1.9,105,12,1904,2002,2010,2008,top-tenth,"1949,1953"
10,9,53.3,51.0,2.3,108,9,1918,2002,2010,2007,top-tenth,
11,10,53.0,50.4,2.6,110,7,1918,2002,2010,2007,top-tenth,
12,11,51.9,48.9,3.0,116,1,1918,2011,2010,,highest,
13,12,50.1,46.9,3.2,116,1,1918,2011,2010,,highest,
