,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,3.55,3.64,-0.09,67,50,1955,1979,2010,2009,normal,
3,2,7.61,7.47,0.14,66,51,1981,1979,2007,2010,normal,
4,3,11.43,11.49,-0.06,64,53,1981,1978,2008,2010,normal,
5,4,17.92,15.00,2.92,94,23,2002,2006,2010,2006,top-third,
6,5,20.35,18.79,1.56,78,39,2002,2006,2010,2009,top-third,
7,6,24.21,22.68,1.53,75,42,1985,1956,2008,2010,normal,
8,7,27.16,26.34,0.82,66,51,1981,1976,2008,2010,normal,
9,8,30.51,29.96,0.55,63,54,1965,1976,2008,2010,normal,1902
10,9,33.25,33.55,-0.30,58,59,1965,1973,2008,2010,normal,
11,10,34.85,37.41,-2.56,36,81,1966,1997,2002,2010,bottom-third,
12,11,45.39,41.36,4.03,82,35,1966,1978,2008,2010,top-third,
13,12,49.84,44.61,5.23,89,28,1966,1973,2008,2010,top-third,
