,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,4.44,5.28,-0.84,46,71,1914,1937,2009,2010,normal,
3,2,6.03,10.86,-4.83,7,110,1981,1932,1986,2010,bottom-tenth,
4,3,11.61,15.07,-3.46,24,93,1914,1962,2008,2010,bottom-third,
5,4,13.34,18.03,-4.69,16,101,1909,1962,2000,2010,bottom-third,
6,5,14.18,21.46,-7.28,8,109,1904,1974,1956,2010,bottom-tenth,
7,6,19.09,25.39,-6.30,16,101,1904,1949,2000,2010,bottom-third,
8,7,23.24,30.41,-7.17,13,104,1904,2010,2000,2010,bottom-third,
9,8,26.35,34.58,-8.23,12,105,1904,1962,2000,2010,bottom-tenth,
10,9,32.24,39.34,-7.10,17,100,1904,2010,2000,2010,bottom-third,
11,10,35.01,44.66,-9.65,11,106,1904,1974,2000,2010,bottom-tenth,
12,11,38.90,50.62,-11.72,7,110,1904,1974,2008,2010,bottom-tenth,
13,12,43.21,55.68,-12.47,8,109,1955,1962,2008,2010,bottom-tenth,
