,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,1.05,0.79,0.26,94,23,1981,1969,2010,2005,top-third,
3,2,2.82,1.60,1.22,112,5,1931,1969,2010,1997,top-tenth,
4,3,4.20,2.88,1.32,102,15,1940,1997,2010,2001,top-third,
5,4,6.45,4.81,1.64,93,24,1977,1972,2008,2010,top-third,
6,5,12.86,7.73,5.13,115,2,1977,1969,2010,1969,top-tenth,
7,6,17.41,11.20,6.21,115,2,1977,1901,2010,1901,top-tenth,
8,7,22.36,14.80,7.56,116,1,1977,2011,2010,,highest,
9,8,27.57,18.88,8.69,116,1,1977,2011,2010,,highest,
10,9,30.72,21.98,8.74,116,1,1977,2011,2010,,highest,
11,10,32.07,24.03,8.04,115,2,1977,1969,2010,1969,top-tenth,
12,11,33.02,25.29,7.73,115,2,1911,1969,2010,1969,top-tenth,
13,12,33.60,25.98,7.62,114,3,1911,1969,2010,1978,top-tenth,
