,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,0.56,0.79,-0.23,44,74,1981,1969,2008,2011,normal,"1927,1955"
3,2,1.03,1.60,-0.57,22,96,1931,1969,2003,2011,bottom-third,"1924,1995"
4,3,1.37,2.88,-1.51,9,109,1940,1997,2003,2011,bottom-tenth,
5,4,2.35,4.81,-2.46,5,113,1977,1972,2000,2011,bottom-tenth,
6,5,3.56,7.73,-4.17,3,115,1977,1969,1977,2011,bottom-tenth,
7,6,6.29,11.20,-4.91,2,116,1977,1901,1977,2011,bottom-tenth,
8,7,10.97,14.80,-3.83,8,110,1977,2011,1977,2011,bottom-tenth,
9,8,15.15,18.88,-3.73,10,108,1977,2011,1977,2011,bottom-tenth,
10,9,19.29,21.98,-2.69,21,97,1977,2011,2007,2011,bottom-third,
11,10,21.99,24.03,-2.04,28,90,1977,1969,2007,2011,bottom-third,
12,11,23.18,25.29,-2.11,29,89,1911,1969,2007,2011,bottom-third,
13,12,23.86,25.98,-2.12,32,86,1911,1969,2007,2011,bottom-third,
