,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,16.9,18.2,-1.3,42,75,1912,2006,2009,2010,normal,
3,2,19.9,20.8,-0.9,42,75,1918,2002,2009,2010,normal,"1903,1907"
4,3,25.8,25.3,0.5,62,55,1977,2002,2009,2010,normal,"1908,1965"
5,4,31.9,30.9,1.0,78,39,1918,1932,2009,2010,top-third,"1909,1916,1957,1958,1988"
6,5,37.1,36.4,0.7,74,43,1918,1932,2009,2010,normal,"1955,1962,1975,1985"
7,6,42.7,41.3,1.4,93,24,1918,1932,2009,2010,top-third,"1906,1909,1948,1960"
8,7,46.8,45.2,1.6,101,16,1918,1932,2010,2008,top-third,1974
9,8,49.1,47.4,1.7,102,15,1918,1932,2010,2008,top-third,"1974,1988"
10,9,50.1,48.1,2.0,106,11,1918,1932,2010,2008,top-tenth,"1954,1988"
11,10,50.0,47.5,2.5,109,8,1918,1932,2010,2008,top-tenth,2000
12,11,48.9,45.8,3.1,112,5,1918,1932,2010,2006,top-tenth,
13,12,46.7,43.6,3.1,112,5,1918,1999,2010,2006,top-tenth,
