,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,25.1,18.2,6.9,109,9,1912,2006,2011,2006,top-tenth,
3,2,27.5,20.8,6.7,114,4,1918,2002,2011,2007,top-tenth,
4,3,31.6,25.3,6.3,115,3,1977,2002,2011,2002,top-tenth,
5,4,36.2,30.9,5.3,115,3,1918,1932,2011,2002,top-tenth,
6,5,40.7,36.4,4.3,114,4,1918,1932,2011,2006,top-tenth,
7,6,45.3,41.3,4.0,114,4,1918,1932,2011,2006,top-tenth,
8,7,49.2,45.2,4.0,115,3,1918,1932,2011,2006,top-tenth,2006
9,8,51.1,47.4,3.7,114,4,1918,1932,2011,2006,top-tenth,
10,9,51.5,48.1,3.4,114,4,1918,1932,2011,2006,top-tenth,
11,10,50.6,47.5,3.1,113,5,1918,1932,2011,2006,top-tenth,
12,11,48.6,45.8,2.8,110,8,1918,1932,2010,2011,top-tenth,
13,12,46.3,43.6,2.7,109,9,1918,1999,2010,2011,top-tenth,1992
