,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,2.22,1.81,0.41,87,31,1961,1897,2011,2008,top-third,
3,2,4.09,3.80,0.29,74,44,1961,1950,2011,2009,normal,
4,3,7.28,6.38,0.90,81,37,1918,1967,2011,2009,top-third,
5,4,10.65,9.08,1.57,88,30,1925,1989,2011,2008,top-third,
6,5,14.37,12.46,1.91,84,34,1957,1932,2011,2009,top-third,
7,6,17.53,15.59,1.94,86,32,1931,1989,2011,2008,top-third,
8,7,20.52,18.65,1.87,82,36,1931,1989,2011,2009,top-third,
9,8,24.17,21.92,2.25,88,30,1931,1952,2010,2011,top-third,
10,9,28.43,24.98,3.45,103,15,1931,1969,2011,2007,top-third,
11,10,33.87,27.57,6.30,117,1,1931,2012,2011,,highest,
12,11,36.08,29.61,6.47,117,1,1931,2012,2011,,highest,
13,12,37.61,31.13,6.48,115,3,1931,1986,2011,1986,top-tenth,
