,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,36.3,29.4,6.9,111,7,1940,2006,2011,2006,top-tenth,1921
3,2,36.9,31.3,5.6,116,2,1918,1932,2011,1989,top-tenth,1989
4,3,40.4,35.4,5.0,113,5,1977,1932,2011,2002,top-tenth,
5,4,44.6,40.8,3.8,113,5,"1918,1977",1932,2011,2002,top-tenth,
6,5,48.6,46.3,2.3,105,13,1918,1932,2011,2006,top-third,1942
7,6,53.5,51.2,2.3,107,11,1918,1932,2011,2008,top-tenth,"2000,2008"
8,7,57.7,55.0,2.7,114,4,1918,1932,2011,2006,top-tenth,"1955,2006"
9,8,60.0,57.3,2.7,113,5,1918,1932,2011,1955,top-tenth,1955
10,9,60.3,58.0,2.3,110,8,1918,1932,2011,2006,top-tenth,"1923,2006"
11,10,59.9,57.7,2.2,110,8,1918,1932,2011,2006,top-tenth,"1923,1937,1999,2006"
12,11,58.6,56.4,2.2,114,4,1918,1939,2011,1939,top-tenth,1935
13,12,56.5,54.5,2.0,108,10,1918,1939,2011,2006,top-tenth,1923
