,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,1.02,2.09,-1.07,21,96,1986,1916,2009,2010,bottom-third,
3,2,1.92,4.39,-2.47,4,113,1956,1916,1964,2010,bottom-tenth,
4,3,5.00,7.30,-2.30,18,99,1956,1993,2003,2010,bottom-third,
5,4,5.73,10.51,-4.78,7,110,1905,1985,1964,2010,bottom-tenth,
6,5,13.59,14.63,-1.04,45,72,1964,1985,2006,2010,normal,
7,6,16.12,18.35,-2.23,38,79,1954,1916,2003,2010,bottom-third,
8,7,22.89,22.06,0.83,61,56,1954,1994,2008,2010,normal,
9,8,27.68,26.66,1.02,66,51,1954,1994,2008,2010,normal,
10,9,34.45,31.31,3.14,77,40,1954,1916,2008,2010,normal,
11,10,38.39,35.30,3.09,80,37,1954,1994,2008,2010,top-third,
12,11,41.74,38.50,3.24,81,36,1954,1974,2008,2010,top-third,
13,12,43.47,40.53,2.94,78,39,1954,1974,2008,2010,top-third,
