,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,19.1,16.7,2.4,65,52,1916,2006,2008,2010,normal,
3,2,19.1,18.8,0.3,56,61,1950,1958,2010,2008,normal,"1903,1905"
4,3,21.6,22.3,-0.7,47,70,1979,2000,2001,2010,normal,"1911,1915"
5,4,28.1,27.6,0.5,60,57,1979,2000,2010,2009,normal,1913
6,5,33.3,32.8,0.5,60,57,1979,2000,2010,2009,normal,1924
7,6,38.4,38.0,0.4,63,54,1979,2000,2010,2009,normal,"1904,1926"
8,7,42.1,42.0,0.1,54,63,1979,1999,2010,2009,normal,1982
9,8,44.0,44.0,0.0,52,65,"1979,1952","1934,2002",2010,2009,normal,"1904,1911,1933,1970"
10,9,44.3,44.7,-0.4,44,73,1979,1989,1997,2010,normal,1922
11,10,44.0,44.3,-0.3,49,68,1952,1989,2010,2010,normal,"1927,1968,1983,2010"
12,11,43.3,43.0,0.3,71,46,1952,1989,2010,2008,normal,1937
13,12,41.4,41.1,0.3,65,52,1952,1989,2010,2009,normal,"1948,1978"
