,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,1.77,1.35,0.42,94,23,1985,1969,2010,1996,top-third,
3,2,3.38,2.64,0.74,96,21,1931,1918,2010,1997,top-third,
4,3,5.30,3.93,1.37,102,15,1944,1907,2010,1997,top-third,1896
5,4,6.21,5.18,1.03,91,26,1908,1928,2010,2006,top-third,
6,5,8.08,6.64,1.44,97,20,1905,1928,2010,1997,top-third,
7,6,10.26,7.97,2.29,106,11,1905,1928,2010,1986,top-tenth,
8,7,11.77,9.54,2.23,103,14,1905,1928,2010,1996,top-third,
9,8,15.43,12.40,3.03,105,12,1905,1916,2010,1996,top-tenth,
10,9,19.36,14.81,4.55,113,4,1905,1928,2010,1928,top-tenth,
11,10,21.44,16.34,5.10,112,5,1905,1928,2010,1976,top-tenth,
12,11,22.18,17.62,4.56,112,5,1937,1928,2010,1976,top-tenth,
13,12,22.68,18.67,4.01,111,6,1932,1928,2010,1996,top-tenth,
