,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,1.23,1.35,-0.12,54,64,1985,1969,2010,2011,normal,"1914,1925"
3,2,2.04,2.64,-0.60,29,89,1931,1918,2007,2011,bottom-third,
4,3,3.12,3.93,-0.81,32,86,1944,1907,2010,2011,bottom-third,1937
5,4,5.11,5.18,-0.07,61,57,1908,1928,2010,2011,normal,1991
6,5,5.58,6.64,-1.06,31,87,1905,1928,2010,2011,bottom-third,
7,6,6.35,7.97,-1.62,19,99,1905,1928,2002,2011,bottom-third,
8,7,7.74,9.54,-1.80,20,98,1905,1928,2004,2011,bottom-third,
9,8,11.10,12.40,-1.30,33,85,1905,1916,2008,2011,bottom-third,
10,9,16.80,14.81,1.99,93,25,1905,1928,2010,2011,top-third,1982
11,10,19.32,16.34,2.98,104,14,1905,1928,2010,2011,top-third,
12,11,20.94,17.62,3.32,106,12,1937,1928,2010,2011,top-tenth,
13,12,22.31,18.67,3.64,107,11,1932,1928,2010,2011,top-tenth,
