,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,35.0,30.0,5.0,108,10,1937,2003,2011,2003,top-tenth,2000
3,2,33.0,30.6,2.4,88,30,1949,2003,2010,2011,top-third,"1995,2005"
4,3,34.5,33.3,1.2,78,40,1949,1996,2010,2011,normal,1963
5,4,39.0,37.7,1.3,85,33,1917,1934,2010,2011,top-third,"1964,1992,1998"
6,5,44.3,42.5,1.8,98,20,1917,"1934,1996",2010,2011,top-third,"1911,2004"
7,6,49.0,47.1,1.9,103,15,1917,1959,2011,2009,top-third,"1935,1956,2004"
8,7,52.3,50.7,1.6,99,19,1917,1934,2010,2011,top-third,
9,8,53.5,52.3,1.2,92,26,1917,1934,2010,2011,top-third,"1897,1943,1953,2008"
10,9,53.2,52.6,0.6,76,42,1917,2002,1999,2011,normal,"1905,1943,1974"
11,10,52.4,52.0,0.4,71,47,1917,2003,1999,2011,normal,1991
12,11,51.3,50.9,0.4,74,44,1949,1935,1999,2011,normal,
13,12,49.8,49.5,0.3,73,45,1949,1935,1999,2011,normal,"1901,1944"
