,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,0.29,1.16,-0.87,4,113,1919,1916,1966,2010,bottom-tenth,
3,2,3.11,2.18,0.93,95,22,1931,"1907,1914",2010,2006,top-third,1909
4,3,4.30,3.07,1.23,100,17,1977,1914,2010,2005,top-third,
5,4,6.53,3.84,2.69,113,4,1991,2005,2010,2005,top-tenth,
6,5,6.79,4.40,2.39,110,7,1918,2005,2010,2005,top-tenth,
7,6,7.04,5.00,2.04,108,9,1912,1984,2010,2005,top-tenth,
8,7,7.39,5.54,1.85,104,13,1912,1984,2010,2005,top-third,
9,8,7.59,6.24,1.35,95,22,1934,1914,2010,2005,top-third,
10,9,8.66,7.21,1.45,97,20,1929,1914,2010,2006,top-third,1947
11,10,9.93,8.13,1.80,98,19,1929,1914,2010,2006,top-third,
12,11,10.87,9.20,1.67,96,21,2003,1984,2010,2006,top-third,1910
13,12,11.90,10.29,1.61,95,22,1934,1999,2010,2006,top-third,
