,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,20.4,22.1,-1.7,38,79,1979,2006,1996,2010,bottom-third,
3,2,23.3,23.8,-0.5,47,70,1979,1992,2010,2009,normal,1971
4,3,27.7,27.8,-0.1,49,68,1979,2000,2010,2009,normal,"1905,1951"
5,4,34.3,33.6,0.7,69,48,1979,2000,2010,2007,normal,"1932,1967"
6,5,40.2,39.4,0.8,76,41,1930,2006,2010,2008,normal,"1909,1940,1959,1983,1990,2008"
7,6,45.9,44.9,1.0,81,36,1912,2006,2010,2008,top-third,1987
8,7,50.0,49.1,0.9,80,37,1912,2006,2010,2008,top-third,1908
9,8,52.5,51.5,1.0,81,36,"1952,1993",1934,2010,2008,top-third,1922
10,9,52.9,52.3,0.6,77,40,1918,1935,2010,2008,normal,1933
11,10,52.8,51.8,1.0,88,29,1918,1935,2010,2008,top-third,"1900,1902,1919,1922,1937,1953,1954,2005"
12,11,51.6,50.4,1.2,88,29,1952,1935,2010,2008,top-third,"1914,1942,1954"
13,12,49.2,48.4,0.8,78,39,1918,2006,2010,2008,top-third,1938
