,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,0.93,0.50,0.43,107,10,1986,1949,2010,2001,top-tenth,
3,2,1.30,1.10,0.20,82,35,2002,2007,2009,2010,top-third,1952
4,3,1.97,1.94,0.03,67,50,"1901,1977",1910,2010,2007,normal,
5,4,2.89,3.36,-0.47,45,72,2000,1947,2004,2010,normal,
6,5,4.93,5.51,-0.58,48,69,1981,1974,2006,2010,normal,
7,6,7.78,8.21,-0.43,51,66,1977,1974,2006,2010,normal,
8,7,11.81,11.27,0.54,67,50,1937,1994,2006,2010,normal,
9,8,19.21,14.95,4.26,110,7,1937,1994,2009,2010,top-tenth,1993
10,9,22.24,18.44,3.80,101,16,1937,1916,2010,2009,top-third,
11,10,25.21,20.73,4.48,106,11,1937,1916,2010,2009,top-tenth,
12,11,26.90,22.00,4.90,104,13,1937,1916,2010,2009,top-third,
13,12,27.63,22.66,4.97,106,11,1937,1916,2010,2009,top-tenth,
