,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,22.7,17.1,5.6,104,14,1918,1932,2011,2006,top-third,
3,2,26.1,19.5,6.6,112,6,1918,2002,2011,2007,top-tenth,
4,3,30.8,24.3,6.5,115,3,1918,2002,2011,2007,top-tenth,
5,4,35.1,29.7,5.4,116,2,1918,2002,2011,2002,top-tenth,
6,5,40.3,35.1,5.2,116,2,1918,2002,2011,2002,top-tenth,
7,6,44.6,39.9,4.7,116,2,1918,2002,2011,2002,top-tenth,
8,7,48.1,43.7,4.4,117,1,1918,2012,2011,,highest,
9,8,49.9,46.0,3.9,117,1,1918,"2002,2012",2011,2002,highest,2002
10,9,50.5,46.7,3.8,117,1,1918,"2012,2002",2011,2002,highest,2002
11,10,49.7,46.1,3.6,117,1,1918,2012,2011,,highest,
12,11,47.9,44.5,3.4,117,1,1918,2012,2011,,highest,
13,12,45.4,42.3,3.1,115,3,1918,"1999,2011",2010,2011,top-tenth,2007
