,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,2.57,3.29,-0.72,37,80,1981,1979,2004,2010,bottom-third,
3,2,6.87,6.84,0.03,65,52,1981,1958,2007,2010,normal,
4,3,10.53,10.82,-0.29,61,56,1981,1958,2002,2010,normal,
5,4,18.37,14.35,4.02,102,15,1911,2006,2010,2007,top-third,
6,5,21.31,18.15,3.16,94,23,1915,2006,2010,2009,top-third,
7,6,25.05,21.92,3.13,92,25,1931,2006,2010,2009,top-third,
8,7,28.53,25.93,2.60,84,33,1911,2006,2008,2010,top-third,
9,8,33.15,29.85,3.30,86,31,1965,2006,2008,2010,top-third,
10,9,35.44,33.46,1.98,76,41,1915,2007,2008,2010,normal,
11,10,38.26,36.97,1.29,67,50,2002,2006,2003,2010,normal,
12,11,45.68,40.51,5.17,94,23,1911,2006,2008,2010,top-third,
13,12,49.78,43.43,6.35,97,20,1942,2006,2008,2010,top-third,
