,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,35.0,36.5,-1.5,32,85,1940,2006,1991,2010,bottom-third,"1899,1961"
3,2,37.3,37.8,-0.5,42,75,1918,1923,2010,2009,normal,"1898,1926,1929,1996"
4,3,41.7,41.3,0.4,67,50,1930,2000,2010,2009,normal,"1903,1954,1990"
5,4,46.8,46.4,0.4,63,54,1977,1932,2010,2008,normal,"1913,1929"
6,5,52.5,51.7,0.8,83,34,1977,1932,2010,2008,top-third,"1898,1908,1972"
7,6,57.7,56.6,1.1,94,23,"1918,1977",1932,2010,2008,top-third,"1948,2004"
8,7,61.2,60.2,1.0,95,22,1977,1955,2010,2006,top-third,
9,8,63.6,62.3,1.3,101,16,1977,1955,2010,2006,top-third,"1922,1953"
10,9,64.2,62.9,1.3,100,17,1977,1999,2010,2006,top-third,"1900,1901"
11,10,63.9,62.6,1.3,103,14,1977,1935,2010,2007,top-third,"1914,1931,1937,2000"
12,11,62.5,61.4,1.1,100,17,"1918,1977",1935,2010,2007,top-third,2000
13,12,60.3,59.7,0.6,90,27,1918,1955,2010,2008,top-third,"1901,1912,1940,1944,2008"
