,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,33.9,30.2,3.7,94,23,1949,"2003,1953",2008,2010,top-third,1970
3,2,33.7,31.1,2.6,95,22,1949,1934,2010,2005,top-third,"1954,1996"
4,3,34.7,33.3,1.4,88,29,1949,"2003,1918",2010,2009,top-third,"1961,1966,2006"
5,4,38.5,37.0,1.5,93,24,1949,1934,2010,2009,top-third,"1964,1994,1997"
6,5,42.5,41.0,1.5,91,26,1949,1918,2010,2009,top-third,"1908,1968,1978"
7,6,46.0,44.8,1.2,85,32,1949,1918,2010,2009,top-third,"1905,1990,1997"
8,7,48.8,47.7,1.1,87,30,1949,1918,2008,2010,top-third,"1941,1961,2007"
9,8,49.6,48.9,0.7,80,37,1949,1959,2008,2010,top-third,"1964,1970,1982"
10,9,49.3,49.0,0.3,65,52,1917,1959,1994,2010,normal,1991
11,10,48.5,48.5,0.0,55,62,1949,1959,1986,2010,normal,"1911,1942,1944,1946"
12,11,47.7,47.6,0.1,62,55,1949,1935,1986,2010,normal,1962
13,12,46.9,46.5,0.4,72,45,1949,1935,1994,2010,normal,"1951,1958,1966,1969,1970,1990"
