,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,3.15,4.76,-1.61,30,87,1985,1970,2009,2010,bottom-third,
3,2,10.25,9.60,0.65,66,51,1977,1965,2010,2008,normal,
4,3,14.87,14.15,0.72,68,49,1977,1965,2010,2008,normal,
5,4,18.46,16.61,1.85,81,36,1977,1997,2010,2008,top-third,
6,5,20.00,17.85,2.15,85,32,1977,1997,2010,2008,top-third,
7,6,20.39,18.46,1.93,81,36,1977,1974,2010,2008,top-third,
8,7,20.62,18.99,1.63,77,40,1977,1956,2010,2008,normal,
9,8,23.47,20.53,2.94,91,26,1977,1965,2010,2006,top-third,
10,9,26.49,22.62,3.87,94,23,1977,1997,2010,2006,top-third,
11,10,30.38,25.01,5.37,99,18,1977,1997,2010,2006,top-third,
12,11,33.95,28.45,5.50,97,20,1977,1997,2010,2006,top-third,
13,12,36.54,32.26,4.28,94,23,1977,1997,2010,2006,top-third,
