,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,3.33,3.50,-0.17,65,52,1981,1979,2010,2007,normal,
3,2,6.60,7.18,-0.58,50,67,1981,1979,2007,2010,normal,
4,3,8.77,10.59,-1.82,34,83,1981,1978,2002,2010,bottom-third,
5,4,14.15,13.94,0.21,67,50,2002,1978,2002,2010,normal,
6,5,17.33,17.67,-0.34,54,63,2002,1978,2008,2010,normal,1921
7,6,19.84,22.31,-2.47,36,81,1981,1978,2002,2010,bottom-third,
8,7,23.91,26.78,-2.87,32,85,2002,1978,2002,2010,bottom-third,
9,8,26.15,30.50,-4.35,24,93,1966,1976,2002,2010,bottom-third,
10,9,29.50,34.22,-4.72,21,96,1966,1976,2002,2010,bottom-third,
11,10,32.01,37.97,-5.96,15,102,1966,2010,2002,2010,bottom-third,
12,11,40.68,41.85,-1.17,49,68,1966,1997,2002,2010,normal,1925
13,12,45.30,44.93,0.37,61,56,1966,1973,2002,2010,normal,
