,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,26.0,19.9,6.1,103,15,1918,1932,2011,2006,top-third,
3,2,28.9,22.3,6.6,112,6,1918,2002,2011,2007,top-tenth,
4,3,33.6,26.9,6.7,114,4,1918,2002,2011,2007,top-tenth,
5,4,37.6,32.2,5.4,115,3,1918,"2002,1932",2011,2002,top-tenth,
6,5,42.6,37.6,5.0,115,3,1918,1932,2011,2002,top-tenth,
7,6,46.8,42.3,4.5,115,3,1918,"1932,2002",2011,2002,top-tenth,
8,7,50.3,46.0,4.3,116,2,1918,1932,2011,1932,top-tenth,
9,8,52.2,48.2,4.0,116,2,1918,1932,2011,2006,top-tenth,2006
10,9,52.8,48.9,3.9,117,1,1918,"1932,2012",2011,1932,highest,1932
11,10,52.0,48.3,3.7,117,1,1918,2012,2011,,highest,
12,11,50.1,46.7,3.4,117,1,1918,2012,2011,,highest,
13,12,47.7,44.5,3.2,116,2,1918,1999,2011,1999,top-tenth,1932
