,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,3.29,2.89,0.40,82,36,1981,1979,2011,2007,top-third,
3,2,6.73,5.99,0.74,77,41,1944,1978,2011,2009,normal,1987
4,3,9.71,9.45,0.26,65,53,1961,1978,2011,2009,normal,
5,4,14.32,12.84,1.48,87,31,1961,1978,2010,2011,top-third,
6,5,21.44,16.54,4.90,111,7,1931,1978,2011,2006,top-tenth,
7,6,29.20,20.23,8.97,116,2,1931,1978,2011,1978,top-tenth,
8,7,31.75,24.03,7.72,115,3,1931,1978,2011,2006,top-tenth,
9,8,36.00,27.78,8.22,115,3,1965,1978,2011,2007,top-tenth,
10,9,42.17,31.32,10.85,116,2,1965,1978,2011,1978,top-tenth,
11,10,48.95,34.61,14.34,117,1,1965,2012,2011,,highest,
12,11,53.46,37.69,15.77,117,1,1965,2012,2011,,highest,
13,12,56.99,40.22,16.77,117,1,1965,2012,2011,,highest,
