,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,36.3,40.0,-3.7,20,97,1977,1950,1994,2010,bottom-third,1994
3,2,35.0,40.8,-5.8,4,113,1918,1932,1977,2010,bottom-tenth,
4,3,40.0,43.6,-3.6,7,110,1918,1932,1977,2010,bottom-tenth,
5,4,45.2,47.7,-2.5,11,106,1918,1932,1982,2010,bottom-tenth,
6,5,50.8,52.2,-1.4,23,94,1918,1932,2001,2010,bottom-third,1915
7,6,55.4,56.1,-0.7,32,85,1918,1932,2001,2010,bottom-third,"1948,1988"
8,7,58.8,59.1,-0.3,40,77,"1918,1977",1932,2010,2009,normal,"1930,1941,1946,1984,1988"
9,8,61.3,60.9,0.4,74,43,1977,1932,2010,2008,normal,"1900,1926,1954,2003"
10,9,62.3,61.5,0.8,87,30,1918,1932,2010,2008,top-third,"1898,1903,1916,1920,1960"
11,10,62.2,61.1,1.1,94,23,1918,1932,2010,2008,top-third,1933
12,11,61.0,60.1,0.9,93,24,1918,1999,2010,2008,top-third,"1913,1946,1954"
13,12,59.0,58.5,0.5,74,43,1918,1999,2010,2009,normal,"1907,1913"
