,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,1.95,3.91,-1.96,10,107,1907,1937,2008,2010,bottom-tenth,
3,2,4.82,7.61,-2.79,11,106,1956,1937,2001,2010,bottom-tenth,
4,3,6.41,10.64,-4.23,8,109,1934,2010,1981,2010,bottom-tenth,
5,4,9.12,13.93,-4.81,5,112,1934,1937,2001,2010,bottom-tenth,
6,5,16.93,18.18,-1.25,50,67,1934,1978,2008,2010,normal,
7,6,21.45,23.45,-2.00,38,79,1934,1978,2008,2010,bottom-third,
8,7,25.50,29.11,-3.61,26,91,2008,1946,2008,2010,bottom-third,
9,8,29.15,33.70,-4.55,22,95,1934,1937,2008,2010,bottom-third,
10,9,33.83,37.69,-3.86,25,92,2008,1902,2008,2010,bottom-third,1903
11,10,35.39,41.22,-5.83,15,102,2008,1902,2008,2010,bottom-third,
12,11,39.45,45.52,-6.07,14,103,2008,1902,2008,2010,bottom-third,2001
13,12,43.22,49.38,-6.16,17,100,2008,2004,2008,2010,bottom-third,
